escala,motor,clase,nombre_consulta,regimen,repeticion,tiempo
10,estrella,agregacion_simple,consulta2,caliente,5,0.005391800001234515
10,estrella,agregacion_simple,consulta3,frio,0,0.0039098000015656
10,estrella,agregacion_simple,consulta3,caliente,1,0.002584400001069298
10,estrella,agregacion_simple,consulta3,caliente,2,0.0026830999995581806
10,estrella,agregacion_simple,consulta3,caliente,3,0.002861299999494804
10,estrella,agregacion_simple,consulta3,caliente,4,0.0027262999974482227
10,estrella,agregacion_simple,consulta3,caliente,5,0.003154099998937454
10,estrella,alta_selectividad,consulta1,frio,0,0.0006470999978773762
10,estrella,alta_selectividad,consulta1,caliente,1,0.0004425000006449409
10,estrella,alta_selectividad,consulta1,caliente,2,0.00043200000072829425
10,estrella,alta_selectividad,consulta1,caliente,3,0.0004206000012345612
10,estrella,alta_selectividad,consulta1,caliente,4,0.000389000000723172
10,estrella,alta_selectividad,consulta1,caliente,5,0.0003837999975075945
10,estrella,alta_selectividad,consulta2,frio,0,0.00048469999819644727
10,estrella,alta_selectividad,consulta2,caliente,1,0.00029179999910411425
10,estrella,alta_selectividad,consulta2,caliente,2,0.00025599999935366213
10,estrella,alta_selectividad,consulta2,caliente,3,0.00036840000029769726
10,estrella,alta_selectividad,consulta2,caliente,4,0.0002468999991833698
10,estrella,alta_selectividad,consulta2,caliente,5,0.00023940000028233044
10,estrella,alta_selectividad,consulta3,frio,0,0.0010593000006338116
10,estrella,alta_selectividad,consulta3,caliente,1,0.0007369999984803144
10,estrella,alta_selectividad,consulta3,caliente,2,0.0008664999986649491
10,estrella,alta_selectividad,consulta3,caliente,3,0.0006815999986429233
10,estrella,alta_selectividad,consulta3,caliente,4,0.0006754999994882382
10,estrella,alta_selectividad,consulta3,caliente,5,0.000610499999311287
10,estrella,alta_selectividad_join,consulta1,frio,0,0.0010437999990244862
10,estrella,alta_selectividad_join,consulta1,caliente,1,0.0010347999996156432
10,estrella,alta_selectividad_join,consulta1,caliente,2,0.0007560999983979855
10,estrella,alta_selectividad_join,consulta1,caliente,3,0.0007215999976324383
10,estrella,alta_selectividad_join,consulta1,caliente,4,0.0009737000000313856
10,estrella,alta_selectividad_join,consulta1,caliente,5,0.0010566999990260229
10,estrella,alta_selectividad_join,consulta2,frio,0,0.0012705000008281786
10,estrella,alta_selectividad_join,consulta2,caliente,1,0.0018004000012297183
10,estrella,alta_selectividad_join,consulta2,caliente,2,0.0021854000005987473
10,estrella,alta_selectividad_join,consulta2,caliente,3,0.0013169000012567267
10,estrella,alta_selectividad_join,consulta2,caliente,4,0.000983099998848047
10,estrella,alta_selectividad_join,consulta2,caliente,5,0.0008981999999377877
10,estrella,alta_selectividad_join,consulta3,frio,0,0.0012510999986261595
10,estrella,alta_selectividad_join,consulta3,caliente,1,0.0006934000011824537
10,estrella,alta_selectividad_join,consulta3,caliente,2,0.0006304000016825739
10,estrella,alta_selectividad_join,consulta3,caliente,3,0.0006021000008331612
10,estrella,alta_selectividad_join,consulta3,caliente,4,0.0006279000008362345
10,estrella,alta_selectividad_join,consulta3,caliente,5,0.0006060999985493254
10,estrella,joins_agregacion,consulta1,frio,0,0.010730099998909282
10,estrella,joins_agregacion,consulta1,caliente,1,0.010085699999763165
10,estrella,joins_agregacion,consulta1,caliente,2,0.010476500003278488
10,estrella,joins_agregacion,consulta1,caliente,3,0.009470900000451365
10,estrella,joins_agregacion,consulta1,caliente,4,0.00883570000223699
10,estrella,joins_agregacion,consulta1,caliente,5,0.008885100000043167
10,estrella,joins_agregacion,consulta2,frio,0,0.014871000003040535
10,estrella,joins_agregacion,consulta2,caliente,1,0.013081799999781651
10,estrella,joins_agregacion,consulta2,caliente,2,0.013768900000286521
10,estrella,joins_agregacion,consulta2,caliente,3,0.01250149999759742
10,estrella,joins_agregacion,consulta2,caliente,4,0.011704599997756304
10,estrella,joins_agregacion,consulta2,caliente,5,0.011341800000082003
10,estrella,joins_agregacion,consulta3,frio,0,0.004874099999142345
10,estrella,joins_agregacion,consulta3,caliente,1,0.0047088999999687076
10,estrella,joins_agregacion,consulta3,caliente,2,0.007117699999071192
10,estrella,joins_agregacion,consulta3,caliente,3,0.005964600000879727
10,estrella,joins_agregacion,consulta3,caliente,4,0.005887200000870507
10,estrella,joins_agregacion,consulta3,caliente,5,0.00861340000119526
10,oltp,agregacion_simple,consulta_1,frio,0,0.07014599999820348
10,oltp,agregacion_simple,consulta_1,caliente,1,0.011064099999202881
10,oltp,agregacion_simple,consulta_1,caliente,2,0.006389299996953923
10,oltp,agregacion_simple,consulta_1,caliente,3,0.004195699999399949
10,oltp,agregacion_simple,consulta_1,caliente,4,0.0042074999983015005
10,oltp,agregacion_simple,consulta_1,caliente,5,0.003903500000888016
10,oltp,agregacion_simple,consulta_2,frio,0,0.052608199999667704
10,oltp,agregacion_simple,consulta_2,caliente,1,0.025414700001419988
10,oltp,agregacion_simple,consulta_2,caliente,2,0.025396299999556504
10,oltp,agregacion_simple,consulta_2,caliente,3,0.02481429999897955
10,oltp,agregacion_simple,consulta_2,caliente,4,0.024748199997702613
10,oltp,agregacion_simple,consulta_2,caliente,5,0.025132800001301803
10,oltp,agregacion_simple,consulta_3,frio,0,0.05208829999901354
10,oltp,agregacion_simple,consulta_3,caliente,1,0.026222899999993388
10,oltp,agregacion_simple,consulta_3,caliente,2,0.027200900000025285
10,oltp,agregacion_simple,consulta_3,caliente,3,0.027824500000861008
10,oltp,agregacion_simple,consulta_3,caliente,4,0.02627990000110003
10,oltp,agregacion_simple,consulta_3,caliente,5,0.023878500000137137
10,oltp,alta_selectividad,consulta_1,frio,0,0.021905300000071293
10,oltp,alta_selectividad,consulta_1,caliente,1,0.00030139999944367446
10,oltp,alta_selectividad,consulta_1,caliente,2,0.00017269999807467684
10,oltp,alta_selectividad,consulta_1,caliente,3,0.00013789999866276048
10,oltp,alta_selectividad,consulta_1,caliente,4,0.00013000000035390258
10,oltp,alta_selectividad,consulta_1,caliente,5,0.0001233000002685003
10,oltp,alta_selectividad,consulta_2,frio,0,0.014180300000589341
10,oltp,alta_selectividad,consulta_2,caliente,1,0.00032359999750042334
10,oltp,alta_selectividad,consulta_2,caliente,2,0.00017920000027515925
10,oltp,alta_selectividad,consulta_2,caliente,3,0.00011350000204402022
10,oltp,alta_selectividad,consulta_2,caliente,4,0.00010440000187372789
10,oltp,alta_selectividad,consulta_2,caliente,5,9.030000001075678e-05
10,oltp,alta_selectividad,consulta_3,frio,0,0.014845199999399483
